route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
39,Local_Sunday_10_2307-PHNS_0000001,18965275,"Dreamy Draw PNR",1,,390008,6710
70,Local_Sunday_10_2307-PHNS_0000001,18965276,"24th St+Baseline PNR",0,,700086,7022
70,Local_Sunday_10_2307-PHNS_0000001,18965277,"24th St+Baseline PNR",0,,700086,7019
16,Local_Sunday_10_2307-PHNS_0000001,18965278,"Dobbins+Central",1,,160062,6231
70,Local_Sunday_10_2307-PHNS_0000001,18965279,"24th St+Baseline PNR",0,,700086,7020
39,Local_Sunday_10_2307-PHNS_0000001,18965280,"Dreamy Draw PNR",1,,390008,6703
16,Local_Sunday_10_2307-PHNS_0000001,18965281,"Dobbins+Central",1,,160062,6229
39,Local_Sunday_10_2307-PHNS_0000001,18965282,"Dreamy Draw PNR",1,,390008,6698
39,Local_Sunday_10_2307-PHNS_0000001,18965283,"Dreamy Draw PNR",1,,390008,6687
16,Local_Sunday_10_2307-PHNS_0000001,18965284,"Dobbins+Central",1,,160062,6225
80,Local_Sunday_10_2307-PHNS_0000001,18965285,"64th St+Shea",0,,800070,7108
80,Local_Sunday_10_2307-PHNS_0000001,18965286,"Mustang Transit Ctr",0,,800074,7114
80,Local_Sunday_10_2307-PHNS_0000001,18965287,"64th St+Shea",0,,800070,7106
80,Local_Sunday_10_2307-PHNS_0000001,18965288,"Mustang Transit Ctr",0,,800074,7100
16,Local_Sunday_10_2307-PHNS_0000001,18965289,"Dobbins+Central",1,,160062,6232
80,Local_Sunday_10_2307-PHNS_0000001,18965290,"Mustang Transit Ctr",0,,800074,7111
39,Local_Sunday_10_2307-PHNS_0000001,18965291,"Dreamy Draw PNR",1,,390008,6691
16,Local_Sunday_10_2307-PHNS_0000001,18965292,"Dobbins+Central",1,,160062,6223
39,Local_Sunday_10_2307-PHNS_0000001,18965293,"Dreamy Draw PNR",1,,390008,6681
80,Local_Sunday_10_2307-PHNS_0000001,18965294,"Mustang Transit Ctr",0,,800074,7113
16,Local_Sunday_10_2307-PHNS_0000001,18965295,"Dobbins+Central",1,,160062,6243
16,Local_Sunday_10_2307-PHNS_0000001,18965296,"Dobbins+Central",1,,160062,6235
80,Local_Sunday_10_2307-PHNS_0000001,18965297,"Mustang Transit Ctr",0,,800074,7105
39,Local_Sunday_10_2307-PHNS_0000001,18965298,"Dreamy Draw PNR",1,,390008,6695
80,Local_Sunday_10_2307-PHNS_0000001,18965299,"Mustang Transit Ctr",0,,800074,7101
16,Local_Sunday_10_2307-PHNS_0000001,18965300,"Dobbins+Central",1,,160062,6238
80,Local_Sunday_10_2307-PHNS_0000001,18965301,"Mustang Transit Ctr",0,,800074,7110
80,Local_Sunday_10_2307-PHNS_0000001,18965302,"Mustang Transit Ctr",0,,800074,7116
80,Local_Sunday_10_2307-PHNS_0000001,18965303,"Mustang Transit Ctr",0,,800074,7109
39,Local_Sunday_10_2307-PHNS_0000001,18965304,"Dreamy Draw PNR",1,,390008,6699
80,Local_Sunday_10_2307-PHNS_0000001,18965305,"Mustang Transit Ctr",0,,800074,7103
39,Local_Sunday_10_2307-PHNS_0000001,18965306,"Dreamy Draw PNR",1,,390008,6679
16,Local_Sunday_10_2307-PHNS_0000001,18965307,"Dobbins+Central",1,,160062,6226
80,Local_Sunday_10_2307-PHNS_0000001,18965308,"Mustang Transit Ctr",0,,800074,7102
80,Local_Sunday_10_2307-PHNS_0000001,18965309,"Mustang Transit Ctr",0,,800074,7115
39,Local_Sunday_10_2307-PHNS_0000001,18965310,"Dreamy Draw PNR",1,,390008,6683
80,Local_Sunday_10_2307-PHNS_0000001,18965311,"Mustang Transit Ctr",0,,800074,7104
16,Local_Sunday_10_2307-PHNS_0000001,18965312,"Dobbins+Central",1,,160062,6230
39,Local_Sunday_10_2307-PHNS_0000001,18965313,"Dreamy Draw PNR",1,,390008,6697
39,Local_Sunday_10_2307-PHNS_0000001,18965314,"Dreamy Draw PNR",1,,390008,6690
80,Local_Sunday_10_2307-PHNS_0000001,18965315,"Mustang Transit Ctr",0,,800074,7112
16,Local_Sunday_10_2307-PHNS_0000001,18965316,"Dobbins+Central",1,,160062,6237
16,Local_Sunday_10_2307-PHNS_0000001,18965317,"Dobbins+Central",1,,160062,6248
80,Local_Sunday_10_2307-PHNS_0000001,18965318,"64th St+Shea",0,,800070,7107
80,Local_Sunday_10_2307-PHNS_0000001,18965319,"64th St+Shea",0,,800070,7098
39,Local_Sunday_10_2307-PHNS_0000001,18965320,"Dreamy Draw PNR",1,,390008,6680
16,Local_Sunday_10_2307-PHNS_0000001,18965321,"Dobbins+Central",1,,160062,6241
39,Local_Sunday_10_2307-PHNS_0000001,18965322,"Dreamy Draw PNR",1,,390008,6694
