path_id,service_route_id,o_zone_id,d_zone_id,unique_route_id,agent_type,demand_period,toll,travel_time,distance,link_sequence,node_sequence,geometry,prob,node_ids,link_ids,distance_mile,total_distance_km,total_free_flow_travel_time,total_travel_time,route_key,seed_od_volume,target_od_volume,final_est_od_volume,volume
1091,0,16,11,1,transit,AM,0,22.2768,20738.5,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1039,16;392;387;396;385;383;406;394;398;401;389;11,,1,16;392;387;396;385;383;406;394;398;401;389;11,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1039,12.8891,20.7385,22.2767,22.2768,3958_10622,18,0,18,18
1092,0,16,13,1,transit,AM,0,17.4033,16164.5,142;870;863;882;861;859;880;876;867,16;302;298;308;297;296;307;305;301;13,,1,16;302;298;308;297;296;307;305;301;13,142;870;863;882;861;859;880;876;867,10.0463,16.1645,17.4033,17.4033,2443_7100,1,0,1,1
1093,0,16,15,1,transit,AM,0,32.8498,30662.2,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1040;1030;1034;1052;1038;1043,16;392;387;396;385;383;406;394;398;401;389;384;386;395;388;391;15,,1,16;392;387;396;385;383;406;394;398;401;389;384;386;395;388;391;15,143;1046;1036;1054;1032;1028;1074;1050;1057;1063;1040;1030;1034;1052;1038;1043,19.0567,30.6622,32.8497,32.8498,5906_15820,1,0,1,1
1094,2,16,17,3,transit,AM,0,8.5643,7868.37,140;786;828;834;791,16;258;279;282;261;17,,0.644389,16;258;279;282;261;17,140;786;828;834;791,4.89023,7.86837,8.5643,8.5643,1113_3379,2,0,2,1.28878
1095,7,16,17,4,transit,AM,0,8.5643,7868.37,144;1094;1108;1110;1095,16;416;423;424;417;17,,0.15625,16;416;423;424;417;17,144;1094;1108;1110;1095,4.89023,7.86837,8.5643,8.5643,1713_4551,2,0,2,0.3125
1096,1,16,17,2,transit,AM,0,8.5643,7868.37,141;788;830;836;793,16;259;280;283;262;17,,0.0685305,16;259;280;283;262;17,141;788;830;836;793,4.89023,7.86837,8.5643,8.5643,1117_3388,2,0,2,0.137061
1097,0,16,17,1,transit,AM,0,8.56431,7868.37,139;784;826;832;789,16;257;278;281;260;17,,0.130831,16;257;278;281;260;17,139;784;826;832;789,4.89023,7.86837,8.5643,8.56431,1109_3370,2,0,2,0.261662
1098,0,16,19,1,transit,AM,0,20.0476,18646.3,143;1046;1036;1054;1032;1028;1074;1049,16;392;387;396;385;383;406;394;19,,1,16;392;387;396;385;383;406;394;19,143;1046;1036;1054;1032;1028;1074;1049,11.5887,18.6463,20.0475,20.0476,2778_7462,22,0,22,22
1099,0,16,21,1,transit,AM,0,13.8097,12791.6,142;870;863;882;861;859;880;875,16;302;298;308;297;296;307;305;21,,1,16;302;298;308;297;296;307;305;21,142;870;863;882;861;859;880;875,7.95002,12.7916,13.8097,13.8097,2150_6232,1,0,1,1
1100,0,16,23,1,transit,AM,0,31.7241,29605.6,142;870;863;882;861;859;880;876;868;892;865;877,16;302;298;308;297;296;307;305;301;313;299;306;23,,1,16;302;298;308;297;296;307;305;301;313;299;306;23,142;870;863;882;861;859;880;876;868;892;865;877,18.4,29.6056,31.7241,31.7241,3371_9735,2,0,2,2
1101,0,16,25,1,transit,AM,0,9.12562,8395.16,142;870;863;882;861;859;879,16;302;298;308;297;296;307;25,,1,16;302;298;308;297;296;307;25,142;870;863;882;861;859;879,5.21762,8.39516,9.12562,9.12562,1849_5356,1,0,1,1
